dataset_order,transaction_id,user_id,amount,transaction_type_ATM,transaction_type_Online,transaction_type_POS,transaction_type_QR,merchant_category_Clothing,merchant_category_Electronics,merchant_category_Food,merchant_category_Grocery,merchant_category_Travel,country_DE,country_FR,country_NG,country_TR,country_UK,country_US,hour,device_risk_score,ip_risk_score,is_fraud
0,9608,363,4922,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12,99,94,1
1,456,692,48,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,21,16,22,0
2,4747,587,136,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,14,29,12,0
3,6934,445,80,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,23,12,15,0
4,1646,729,120,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,16,9,2,0
5,2183,944,97,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,17,23,10,0
6,1919,829,166,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,12,11,22,0
7,3479,845,96,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,7,8,3,0
8,6796,129,83,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,16,2,27,0
9,5129,249,89,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,6,9,13,0
10,7402,701,101,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,7,16,29,0
11,6188,116,106,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,23,13,13,0
12,8538,679,55,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,10,7,12,0
13,8410,559,99,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,10,8,1,0
14,8201,564,94,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,20,13,16,0
15,2187,336,133,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,19,8,28,0
16,5666,166,158,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,19,20,1,0
17,1419,288,203,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,23,15,8,0
18,6484,984,88,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,19,14,20,0
19,2480,137,115,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,14,20,6,0
20,2818,893,63,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,12,4,22,0
21,8826,620,113,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9,14,3,0
22,8257,600,131,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,18,3,4,0
23,9933,121,4284,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12,73,73,1
24,9035,358,76,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,7,9,18,0
25,7468,688,138,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,17,10,20,0
26,464,832,133,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,15,5,9,0
27,599,155,17,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,7,1,17,0
28,3094,200,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9,10,18,0
29,8745,865,154,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,9,16,3,0
30,2730,375,103,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,17,20,14,0
31,4155,826,54,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,22,9,1,0
32,4298,847,91,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,18,26,13,0
33,9139,769,135,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,16,7,8,0
34,3983,271,64,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,16,1,24,0
35,8777,568,117,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,10,12,29,0
36,2140,719,174,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,6,16,21,0
37,3084,161,98,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,19,19,5,0
38,7706,557,101,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,15,7,16,0
39,7574,421,138,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,8,26,15,0
40,4233,561,118,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,15,1,5,0
41,3826,920,109,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8,5,2,0
42,8966,430,140,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,9,1,10,0
43,5329,968,120,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,19,8,22,0
44,6819,927,50,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,12,28,21,0
45,1711,813,173,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,9,0,9,0
46,8484,879,53,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,19,26,9,0
47,7710,984,26,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,17,25,10,0
48,4048,798,79,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8,1,14,0
49,4570,566,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,20,21,23,0
50,5474,94,123,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,12,21,5,0
51,4669,656,90,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,19,15,25,0
52,2459,900,49,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,10,26,6,0
53,8065,822,91,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,16,13,27,0
54,2577,71,127,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,15,21,12,0
55,3055,29,115,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,12,22,24,0
56,7148,370,159,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,15,18,27,0
57,7100,122,5,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,4,10,0
58,9046,904,139,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,18,3,16,0
59,6599,550,122,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,13,0,12,0
60,7821,289,165,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,18,7,22,0
61,4263,81,132,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,10,9,16,0
62,2421,851,47,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,22,16,5,0
63,9424,180,101,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,23,24,7,0
64,858,422,107,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,23,17,7,0
65,2617,886,91,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,16,23,26,0
66,6602,687,138,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,7,6,7,0
67,7364,864,103,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,14,11,20,0
68,8924,383,115,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9,24,4,0
69,5516,236,108,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,17,0,6,0
70,430,644,101,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,2,16,0
71,780,963,124,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,10,5,5,0
72,3134,313,136,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6,11,1,0
73,6656,225,96,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,21,1,1,0
74,1619,469,11,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,15,1,14,0
75,6718,671,76,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,6,13,21,0
76,4444,573,46,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,19,18,10,0
77,4224,49,55,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6,8,13,0
78,4045,196,169,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,15,7,24,0
79,8807,399,136,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,21,26,15,0
80,5198,935,91,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,20,16,10,0
81,4094,466,209,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,19,13,11,0
82,9468,739,50,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,12,11,20,0
83,8627,507,101,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7,12,5,0
84,9637,560,1148,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,19,94,83,1
85,4098,541,123,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,7,21,22,0
86,4554,390,184,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,13,2,20,0
87,9711,935,952,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,20,78,98,1
88,5481,532,104,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,6,19,10,0
89,9939,291,2865,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,13,83,90,1
90,2670,770,94,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,8,6,5,0
91,6904,310,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,14,11,20,0
92,5261,594,32,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,17,14,6,0
93,5119,413,78,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,17,23,12,0
94,1286,384,87,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,17,17,0,0
95,3477,282,122,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,13,24,18,0
