dataset_order,transaction_id,user_id,amount,transaction_type_ATM,transaction_type_Online,transaction_type_POS,transaction_type_QR,merchant_category_Clothing,merchant_category_Electronics,merchant_category_Food,merchant_category_Grocery,merchant_category_Travel,country_DE,country_FR,country_NG,country_TR,country_UK,country_US,hour,device_risk_score,ip_risk_score,is_fraud
0,9608,363,4922,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12,99,94,1
1,9933,121,4284,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12,73,73,1
2,9637,560,1148,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,19,94,83,1
3,9711,935,952,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,20,78,98,1
4,9939,291,2865,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,13,83,90,1
5,9723,631,2830,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4,92,74,1
6,9507,706,2705,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,10,76,80,1
7,9984,63,2995,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,11,86,88,1
8,9820,840,10,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,18,74,90,1
9,9929,735,2400,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,15,98,98,1
10,9701,64,1489,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,14,78,70,1
11,9795,537,22,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,99,92,1
12,9728,572,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16,84,79,1
13,9500,438,1927,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,21,99,79,1
14,9575,622,1110,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,97,83,1
15,9754,616,1094,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,9,99,89,1
16,9566,461,3444,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,78,92,1
17,9982,802,10,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,99,89,1
18,9932,473,2186,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,85,80,1
19,9612,854,1220,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,18,78,83,1
20,9636,451,22,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,4,89,89,1
21,9544,833,378,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,10,88,97,1
22,9848,216,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,75,96,1
23,9521,369,2920,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,15,90,85,1
24,9690,877,10,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,12,83,94,1
25,9660,598,2011,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8,80,98,1
26,9867,189,4120,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,4,81,99,1
27,9704,990,2460,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,20,80,79,1
28,9890,109,3980,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,16,75,90,1
29,9835,870,1223,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,4,94,87,1
30,9791,637,22,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,4,95,72,1
31,9974,456,665,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,4,74,92,1
32,9741,413,2601,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,21,87,94,1
33,9699,357,3036,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,4,80,77,1
34,9858,1,4912,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,13,74,95,1
35,9729,135,941,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,19,95,98,1
36,9895,624,2110,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,77,86,1
37,9966,339,22,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,5,87,94,1
38,9587,740,1343,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,20,85,70,1
39,9528,702,4603,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,9,74,74,1
40,9958,894,132,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,8,94,93,1
41,9583,808,10,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,19,72,74,1
42,9666,554,1513,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,19,96,97,1
43,9806,374,3842,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,13,80,75,1
44,9818,215,10,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,4,90,85,1
45,9622,596,1034,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,70,94,1
46,9658,15,1074,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,7,99,75,1
47,9572,57,567,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,4,77,85,1
48,9878,567,3541,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,17,72,78,1
49,9967,728,3856,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,4,84,80,1
50,9611,63,3079,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8,85,83,1
51,9977,112,1665,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,8,79,98,1
52,9888,278,1853,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,11,97,72,1
53,9724,613,1597,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7,99,75,1
54,9889,767,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,16,77,96,1
55,9664,427,2983,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,70,78,1
56,9814,854,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,9,99,82,1
57,9614,200,1535,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,15,73,84,1
58,9924,168,1772,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4,96,89,1
59,9692,573,10,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,14,97,85,1
60,9972,561,1144,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,19,83,79,1
61,9715,356,802,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,92,74,1
62,9586,456,889,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,14,96,77,1
63,9899,551,2894,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,6,88,72,1
64,9753,188,3578,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3,85,90,1
65,9807,405,1495,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,4,72,82,1
66,9896,277,7801,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,15,92,74,1
67,9677,741,2035,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,86,93,1
68,9590,118,913,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,82,82,1
69,9642,516,395,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,78,88,1
70,9740,257,2727,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,13,80,75,1
71,9870,307,1157,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,11,96,91,1
72,9696,720,22,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,20,78,91,1
73,9838,758,2063,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,7,95,77,1
74,9731,608,5450,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,21,89,77,1
