transaction_id,user_id,amount,transaction_type_ATM,transaction_type_Online,transaction_type_POS,transaction_type_QR,merchant_category_Clothing,merchant_category_Electronics,merchant_category_Food,merchant_category_Grocery,merchant_category_Travel,country_DE,country_FR,country_NG,country_TR,country_UK,country_US,hour,device_risk_score,ip_risk_score,is_fraud
9608,363,4922,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12,99,94,1
456,692,48,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,21,16,22,0
4747,587,136,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,14,29,12,0
6934,445,80,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,23,12,15,0
1646,729,120,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,16,9,2,0
2183,944,97,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,17,23,10,0
1919,829,166,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,12,11,22,0
3479,845,96,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,7,8,3,0
6796,129,83,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,16,2,27,0
5129,249,89,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,6,9,13,0
7402,701,101,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,7,16,29,0
6188,116,106,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,23,13,13,0
8538,679,55,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,10,7,12,0
8410,559,99,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,10,8,1,0
8201,564,94,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,20,13,16,0
2187,336,133,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,19,8,28,0
5666,166,157,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,19,20,1,0
1419,288,202,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,23,15,8,0
6484,984,88,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,19,14,20,0
2480,137,115,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,14,20,6,0
2818,893,63,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,12,4,22,0
